serialNum,uniqueCode,userName
1,APPLDLA04,Amma Padmavathi Enterprises
2,APPLDLS10,SRI TIRUMALA ENTERPRISES
3,APPLDLS15,SRI SAI TRADERS
4,APPLDLS34,SRI ANJANEYA ENTERPRISES
5,APPLDLS39,SNEHA IRON & CEMENTS
6,APPLDLS40,SRINIVASA HARDWARE
7,APPLDLS44,SURYA TRADERS
8,APPLDLS45,SRI SURYA CEMENT STEELS
9,APPLDLT01,Tirumala Steels
10,APPLDLT02,THRIMATHA HARDWARES
11,APPLDLV03,VISHNU ENTERPRISES
12,APSRDLB01,BHOGI SASI BHUSHAN RAO
13,APSRDLD05,DEVANSHRAM TRADER
14,APSRDLJ01,JYOTHI ENTERPRISES
15,APSRDLS24,SRI SRINIVASA TRADING CO.
16,APVSDLA07,M/S ARUNA TRADERS MGP G RAMA KRISHNA
17,APVSDLD06,DEVI SRI AGENCIES
18,APVSDLD08,DURGADEVI TRADERS
19,APVSDLG04,GUPTA TRADERS
20,APVSDLK10,KVR TRADERS
21,APVSDLL07,LAKSHMI KARTHIKA ENTERPRISES
22,APVSDLL08,LAKSHMI SRINIVASA ENTERPRISES
23,APVSDLL09,LAKSHMI TRADERS
24,APVSDLL10,LIFETIME STEEL ENTERPRISES
25,APVSDLM03,MAHA LAKSHMI TRADERS
26,APVSDLM06,M/S MANIKANTA TRADERS
27,APVSDLN02,NARAYANA ENTERPRISES
28,APVSDLN03,NAGARAJU GENERAL STORES
29,APVSDLR06,RAMESH ENTERPRISES PROPX. VIYYAPU SANTHOSHI
30,APVSDLS05,SRI VIJAYA LAKSHMI CEMENT TRADERS - Anakapalli
31,APVSDLS08,SRI VIJAYA LASKHMI MARKETING - Vizag
32,APVSDLS102,SARADA ENTERPRISES
33,APVSDLS103,SRI LALITHA MANIKANTA STEEL ENTERPRISES
34,APVSDLS19,SRI SAI  ENTERPIRSES
35,APVSDLS20,SRINIVASA  TRADERS
36,APVSDLS29,Sri Lakshmi Traders
37,APVSDLS37,SRI VEERABHADRA TRADERS
38,APVSDLS38,SREEDHARALA TRADERS
39,APVSDLS44,SRI BHAGYALAXMI CEMENT&GEN.STORES
40,APVSDLS59,SREE SITARAMA AGENCIES
41,APVSDLS60,SRI SURYA TRADERS
42,APVSDLS68,SRI LAKSHMI PRASAD ENTERPIRSES
43,APVSDLS71,SRI ANURADHA STEEL & CEMENT
44,APVSDLS77,SRI VENKATESWARA TRADERS
45,APVSDLS80,SRI MAHESH STEELS
46,APVSDLS82,SRI VENKATESWARA TRADERS
47,APVSDLS96,SRI VIJAYALAKSHMI TRADERS
48,APVSDLS99,SRI SAMPATH STEEL TRADERS
49,APVZDLA01,ANNAPURNA AGENCIES
50,APVZDLA09,AYYAPPA AGENCIES
51,APVZDLB06,B.V.R.AGENCIES
52,APVZDLD01,DHANA LAKSHMI ENTERPRISES
53,APVZDLG07,GEETHA AGENCIES
54,APVZDLK08,KSR STEELS
55,APVZDLL02,S LAKSHMU NAIDU
56,APVZDLM08,MURTY TRADERS
57,APVZDLN03,NIKHIL TRADERS
58,APVZDLP02,PRABHA GENERAL STORES
59,APVZDLS03,SRI SATYA MANI TRADERS
60,APVZDLS104,SRI SAI MANIKANTA AGENCIES
61,APVZDLS107,SRI SATYA TRADERS
62,APVZDLS114,SAI MANIKANTA TRADERS
63,APVZDLS120,SRI ADITYA ENTERPRISES
64,APVZDLS121,SURAMMA STEEL & CEMENT
65,APVZDLS128,SRI VENKATA LAKSHMI TRADERS
66,APVZDLS129,SRI SURYA ENTERPRISES
67,APVZDLS133,SRI VENKATESWARA GENERAL STORES
68,APVZDLS137,SRI VIJAYA DURGA ENTERPRISES
69,APVZDLS138,SRI BALAJI TRADERS
70,APVZDLS15,SRI VASAVI STORES
71,APVZDLS33,SRI LAKSHMI PRIYANKA ENTERPRISES
72,APVZDLS35,SRI TIRUMALA TRADERS
73,APVZDLS41,SRI DURGA GENERAL STORES
74,APVZDLS42,SRI SATYA SAI CEMENT STORES
75,APVZDLS59,Sri Sai Mahalakshmi Agencies
76,APVZDLS64,Sri Vasavi Stores
77,APVZDLS76,SAI BHAGAVAN AGENCIES
78,APVZDLS78,SRI VASAVI LAKSHMI AGENCIES
79,APVZDLS83,SURYA ENTERPRISES
80,APVZDLS88,SRI RAMNJANEYA TRADERS
81,APVZDLS91,SRI KANAKAMAHALAXMI TRADERS
82,APVZDLS93,SAI SRINIVASA STORES
83,APVZDLS99,SRI KRISHNA CEMENTS
84,APVZDLV09,V.A.R. ENTERPRISES
85,APVZDLV11,VYSHNAVI ENTERPRISES
86,APEGDLV38,VIJAY TRADERS
87,APEGDLS197,SATYA SRI VARUNA ENTERPRISES
88,APEGDLM04,MEERA TRADERS
89,APEGDLA11,AMRUTHA ENTERPRISES
90,APEGDLL10,LAKSHMI VINAY ENTERPIRSES
91,APEGDLS182,SRI RADHA TRADERS
92,APEGDLS232,SRI SRI SIVA RAMAKRISHNA ENTERPRISES
93,APEGDLV37,VENKATA SRI PADALAMMA TRADERS
94,APEGDLG10,GAYATRI TRADERS
95,APEGDLL04,LEELA ENTERPRISES - Prathipadu
96,APEGDLS193,SREEAPARNACYCLE STORES & GENERAL STORES
97,APEGDLS227,SIDDI VENKATA SAI ENTERPRISES
98,APEGDLS60,SRI LAKSHMI VENKATESWARA TRADERS - Kirlampudi
99,APEGDLV33,VIJAYA GANESH AGENCIES
100,APWGDLB11,BHANU PRAKASH TRADERS
101,APWGDLK02,KANAKA DURGA TRADERS
102,APWGDLG04,GANESH TRADERS
103,APWGDLR09,R.R.TRADERS
104,APWGDLB08,BALAJI CEMENT & IRON TRADERS
105,APWGDLS161,M/S. SRI LAKSHMI VENKATESWARA TRADERS
106,APWGDLS89,SRI BHAVANI ENTERPRISES
107,APWGDLS122,SATYA SRINIVASA AGENCIES
108,APWGDLV18,VIJAYA NARASIMHA TRADERS
109,APWGDLS159,SRI LAKSHMI STEELS
110,APWGDLS79,SRI LAKSHMI STEELS
111,APWGDLS152,SRI LAKSHMI TRADERS
112,APWGDLS174,SRI VENKATESWARA ENTERPRISES
113,APWGDLS160,Sri Mahalakshmi General Stores
114,APWGDLA05,ADITYA ENTERPRISES
115,APWGDLS44,SRI LAKSHMI VENKATARAMA STEELS
116,APWGDLB05,M/S. BATCHU KRISHNA MURTHY
117,APWGDLO02,ONKAR SRI JAGANNADH TRADERS
118,APWGDLS145,S V S CEMENTS AND STEELS
119,APWGDLS59,Sri Lakshmi Enterprises
120,APWGDLS46,SRI LAKSHMI ENTERPRISES
121,APWGDLG05,GODAVARI STEELS
122,APWGDLS85,SRI PAVANI ENTERPRISES
123,APWGDLS178,SRI ANJANEYA TRADERS
124,APWGDLD09,DURGESWARI TRADERS
125,APWGDLS173,SWATHI TRADERS
126,APWGDLS169,SRI AYYAPPA GENERAL STORES
127,APWGDLS172,SATYA SURYA TRADERS
128,APWGDLS149,SRI SRINIVASA TRADERS
129,APWGDLS129,SRI CEMENT SHOP
130,APWGDLV07,VENUGOPAL AGRO AGENCIES
131,APWGDLS143,SRI LAKHMI GANESH CEMENT AND IRON GENERAL STORES
132,APWGDLS138,SRI VIJAYA DURGA GENERAL STORES
133,APWGDLS71,SRI JAYALAXMI AGENCIES
134,APWGDLB09,BHANU TRADERS
135,APWGDLS19,SRI VIJALAKSHMI TRADERS
136,APWGDLS175,SIVA SAI STEELS
137,APWGDLS118,SRI DURGA TRADERS
138,APWGDLT09,TEJA ENTERPRISES
139,APWGDLS157,Sri Venkata Suryambica Enterprises
140,APWGDLN04,NADIMPALLI SATYANARAYANA RAJU MARKETING
141,APWGDLS123,SRI LAKSHMI VENKATESWARA ENTERPRISES
142,APWGDLP08,P R V TRADERS
143,APWGDLS168,SRI KOVVURAMMA TRADERS
144,APWGDLG02,GANESH TRADERS
145,APWGDLC02,COMPLEX ERUVULA DEPOT
146,APWGDLV20,VINAYAKA CEMENT AND GENERAL STORES
147,APWGDLR08,RSA GENERAL STORE
148,APWGDLS164,SRI LAKSHMI VENKATESWARA FERTILISERS
149,APWGDLV16,vaishnavi traders
150,APWGDLK04,KANAKADURGA AGENCIES
151,APWGDLS163,S V MARKETING
152,APWGDLL10,LAKSHMI SRINIVASA TRADERS
153,APWGDLJ03,JAI CHIRANJEEVA AGENCIES
154,APWGDLS156,SRI SESHARATNAM STEELS
155,APWGDLK03,KYK TRADERS
156,APWGDLD08,DURGA TRADERS
157,APWGDLS57,Sri Maruthi Agencies
158,APWGDLS12,SATYA CEMENT AGENCIES
159,APWGDLS16,SRI SWAMYAYAPPA FERTILIZERS  PESTI.
160,APWGDLM09,MAHALAKSHMI STEEL ENTERPRISES
161,APWGDLS95,SRI RAMA STANDARD SUPPLERS
162,APWGDLD03,DURGA SAI SRINIVASA RICE  CEMENT GEN. ST.
163,APWGDLT01,T.V.S. GENERAL STORES
164,APWGDLS116,SRI MAHALAKSHMI GENERAL STORES
165,APWGDLL02,LAXMI HARDWARE & PAINTS STORES
166,APWGDLN06,NAVYA SRI TRADERS
167,APEGDLS245,SRI KARTIKEYA ENTERPRISES
168,APEGDLP06,PATTABI TRADERS - Kakinada
169,APEGDLS226,SANDHYA TRADERS
170,APEGDLG04,GANESH KRISHNA TRADERS - Pithapuram
171,APEGDLS155,SRI TIRUMALA MILL STORES.
172,APEGDLS139,SRI LAKSHMI DHIKSHITHA IRON CEMENT
173,APEGDLS172,SRI LAKSHMI SRINIVASA AGENCIES
